Monitor ID	Deployment date
AQY BB-607	2019-12-05
AQY BB-608	2020-09-17
AQY BB-609	2019-12-18
AQY BB-610	2020-03-13
AQY BB-611	2019-12-05
AQY BB-633	2020-06-03
AQY BB-634	2019-12-06
AQY BB-635	2019-12-09
AQY BB-636	2019-12-05
AQY BB-637	2019-12-09
AQY BB-638	2019-12-21
AQY BB-639	2019-12-19
AQY BB-640	2019-12-05
AQY BB-641	2019-12-06
AQY BB-642	2020-06-03
AQY BB-643	2019-12-06
AQY BB-644	2019-12-06
AQY BB-645	2019-12-09
AQY BB-646	2019-12-21
AQY BB-647	2019-12-16
AQY BB-648	2019-12-05
AQY BB-649	2019-12-06
AQY BB-650	2020-08-12
AQY BB-651	2019-12-09
AQY BB-652	2019-12-16
AQY BB-787	2020-08-12
AQY BB-788	2020-03-05
AQY BB-789	2020-08-12
AQY BB-790	2020-08-12
AQY BB-791	2020-08-12
AQY BB-792	2020-08-14
AQY BB-793	2020-03-13
AQY BB-794	2020-03-19
AQY BB-795	2020-03-06
AQY BB-796	2020-07-24
AQY BB-797	2020-08-14
AQY BB-798	2020-03-12
AQY BB-799	2020-07-20
AQY BB-800	2020-10-06
AQY BB-801	2020-05-11
AQY BB-802	2020-08-13
AQY BB-803	2020-03-19
AQY BB-804	2020-09-17
AQY BB-805	2020-03-05
AQY BB-806	2020-05-12
AQY BB-807	2020-08-14
AQY BB-808	2020-05-11
AQY BB-809	2020-03-03
AQY BB-810	2020-08-12
AQY BB-811	2020-08-13
AQY BB-896	
AQY BB-897	2020-08-12
AQY BB-898	2020-01-13
AQY BE-645A	2020-01-13
AQY BE-803A	2020-01-13
